,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added
86,2YvQY4h5KBhgF34YpNcz0z,Mouthful of Diamonds,Phantogram,1l9d7B8W0IHy3LqWsxP2SH,Eyelid Movies,5aSsh4n7DFK3ngOCwa6ecp,2010,51,2020-05-03T04:39:18Z,2020-05-03 04:39:18,2020,5,6,4
87,1EYIDanK6mrRnFT9yYmfUk,Young In All The Wrong Ways,Sara Watkins,1FDE7zZ6jmP8HHb9ej3mek,Young In All The Wrong Ways,5O41sFLk5rKN2S4eT8GgQR,2016-07-01,39,2020-04-28T06:11:22Z,2020-04-28 06:11:22,2020,4,1,6
88,542XNsFIR39WTldWwKmJgt,Goldbrickin',The Del McCoury Band,2fj5pzLyOKDpUOPZs9q3wt,Del And The Boys,7LtKAaV0906cD0sZGNtk8F,2007-10-30,18,2020-04-28T05:56:48Z,2020-04-28 05:56:48,2020,4,1,5
89,2VshRElZ8IQsvNcWqA5Lkz,Fortune 420(k),Surely Temple,1CgCV02fedZOkIACeiV0zt,Fortune 420(k),6mn4pNCOIkK8rotLJmWcRD,2019-09-27,11,2020-04-28T04:04:28Z,2020-04-28 04:04:28,2020,4,1,4
90,2cYALQZNXmuFGp2ecgpKMa,cellophane,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,MAGDALENE,2w8Wshbp9RCPJdPU1iOpaY,2019-11-08,61,2020-04-28T03:48:16Z,2020-04-28 03:48:16,2020,4,1,3
91,5gmv3BgePSYiHnPJgY7oTJ,Home,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,This Is Happening,4hnqM0JK4CM1phwfq1Ldyz,2010-05-17,56,2020-04-28T03:27:28Z,2020-04-28 03:27:28,2020,4,1,3
92,2rReQXVcbiDCH59a7ZHeoI,All Your Gold,Bat For Lashes,6l77PmL5iuEEcYjGl8K6s7,The Haunted Man (Deluxe Version),0Py0JJuqxNxWfBOddpI59r,2012-10-15,28,2020-04-28T03:10:53Z,2020-04-28 03:10:53,2020,4,1,3
93,1Z6zwgVuT2ytuP2GWszvZ6,Anaphylaxis,PUP,6A7uqgC2N1nUhrCLAytHxN,Anaphylaxis,5SH4FPOyMUYOgfNSjvD2Kf,2020-04-27,51,2020-04-27T22:33:23Z,2020-04-27 22:33:23,2020,4,0,22
94,67xBtV07CC73eFw7z5oCvU,Do You Remember,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,The Big Day,7bgi7zCoDsZdlLKPonHZqP,2019-07-26,61,2020-04-27T20:27:33Z,2020-04-27 20:27:33,2020,4,0,20
95,3SZqA7rQvROJsCbUu2v0xa,Go Loko,YG,0A0FS04o6zMoto8OKPsDwY,Go Loko,1GZ1ugREGYIdS5isG2PIFD,2019-05-03,60,2020-04-27T16:48:34Z,2020-04-27 16:48:34,2020,4,0,16
